# id y x z
1 3040 29.2 25.4
2 2470 24.7 22.2
3 3610 32.3 32.2
4 3480 31.3 31
5 3810 31.5 30.9
6 2330 24.5 23.9
7 1800 19.9 19.2
8 3110 27.3 27.2
9 3670 32.3 29
10 2310 24.0 23.9
11 4360 33.8 33.2
12 1880 21.5 21.0
13 3670 32.2 29.0
14 1740 22.5 22.0
15 2250 27.5 23.8
16 2650 25.6 25.3
17 4970 34.5 34.2
18 2620 26.2 25.7
19 2900 26.7 26.4
20 1670 21.1 20.0
21 2540 24.1 23.9
22 3840 30.7 30.7
23 3800 32.7 32.6
24 4600 32.6 32.5
25 1900 22.1 20.8
26 2530 25.3 23.1
27 2920 30.8 29.8
28 4990 38.9 38.1
29 1670 22.1 21.3
30 3310 29.2 28.5
31 3450 30.1 29.2
32 3600 31.4 31.4
33 2850 26.7 25.9
34 1590 22.1 21.4
35 3770 30.3 29.8
36 3850 32.0 30.6
37 2480 23.2 22.6
38 3570 30.3 30.3
39 2620 29.9 23.8
40 1890 20.8 18.4
41 3030 33.2 29.4
42 3030 28.2 28.2
